Valitun ajanjakson energiasummat;;;;;
YLEIS;53,46;kWh;;;
PAIVA;21,74;kWh;;;
YÖ;31,72;kWh;;;
;;;;;
Päivä;Aika alku;Aika loppu;Kulutus kWh;spot snt/kWh (sis. ALV);Lämpötila °C
15.6.2023;00:00;00:59;8,02;-0,01;13
15.6.2023;01:00;01:59;2,99;-0,51;11,3
15.6.2023;02:00;02:59;1,37;-1,1;9,6
15.6.2023;03:00;03:59;1,57;-1,6;8,8
15.6.2023;04:00;04:59;1,87;-0,56;8,1
15.6.2023;05:00;05:59;1,77;-0,02;7,4
15.6.2023;06:00;06:59;1,5;1,24;7,8
15.6.2023;07:00;07:59;1,53;5,11;10,3
15.6.2023;08:00;08:59;1,53;5,47;13,2
15.6.2023;09:00;09:59;1,56;5,77;15,1
15.6.2023;10:00;10:59;1,73;5,57;16,7
15.6.2023;11:00;11:59;1,63;5,26;18,1
15.6.2023;12:00;12:59;1,56;5,01;18,6
15.6.2023;13:00;13:59;1,66;4,87;18,8
15.6.2023;14:00;14:59;1,24;4,44;19,1
15.6.2023;15:00;15:59;0,44;3,83;19,6
15.6.2023;16:00;16:59;0,42;3,17;20
15.6.2023;17:00;17:59;0,35;1,23;20
15.6.2023;18:00;18:59;0,66;0,87;19,8
15.6.2023;19:00;19:59;0,61;3,44;20
15.6.2023;20:00;20:59;2,35;0,51;19,7
15.6.2023;21:00;21:59;4,47;0;19
15.6.2023;22:00;22:59;5,3;0;17,7
15.6.2023;23:00;23:59;7,33;-0,01;15,8
